"PointID"	"x"	"y"	"Conservative_1"	"Conservative_2"	"Conservative_3"	"Conservative_4"	"Pressure"	"Temperature"	"Pressure_Coefficient"	"Mach"
0	9.997500181200000e-01	-3.632896519016437e-05	1.519745859673904e+00	2.586463423371340e+02	3.149632530333439e+01	3.424240048586389e+05	1.280352201216740e+05	2.934869729261550e+02	5.884137878836228e-01	4.992160187031196e-01	
1	9.990000128750000e-01	-1.452537504052920e-04	1.501385466084167e+00	2.724122160707335e+02	3.696007671483777e+01	3.391743456002189e+05	1.256024418072209e+05	2.914313179758771e+02	5.348208074975519e-01	5.350302921059999e-01	
2	9.977599978450000e-01	-3.251111630156300e-04	1.482648327592451e+00	2.822231005187194e+02	3.942049734688564e+01	3.356645907643443e+05	1.233119435226345e+05	2.897325815173151e+02	4.843621903227429e-01	5.632518875982260e-01	
3	9.960200190539999e-01	-5.769983605901485e-04	1.466942829287234e+00	2.892247558977796e+02	4.091006205513082e+01	3.326775041231620e+05	1.214380203362926e+05	2.883844476838441e+02	4.430805297727557e-01	5.849101531905585e-01	
4	9.937800168990000e-01	-9.004365425509819e-04	1.453527216641963e+00	2.946068158569205e+02	4.187974129491369e+01	3.301043845393608e+05	1.198580000247627e+05	2.872593701160087e+02	4.082734135376500e-01	6.025291020263462e-01	
5	9.910500049590000e-01	-1.293363843462116e-03	1.441806158453165e+00	2.989741880690935e+02	4.252506991255601e+01	3.278456884292753e+05	1.184883159901413e+05	2.862852653984656e+02	3.780999081399419e-01	6.174869537594334e-01	
6	9.878399968150000e-01	-1.753609743384430e-03	1.431245229909189e+00	3.026590711080028e+02	4.296999903190158e+01	3.258023517142002e+05	1.172625308216081e+05	2.854141866731759e+02	3.510964281662626e-01	6.306472417493602e-01	
7	9.841300249100000e-01	-2.283176811071472e-03	1.421523387748866e+00	3.058738813068129e+02	4.328238075331536e+01	3.239160688236077e+05	1.161396775270395e+05	2.846144540353939e+02	3.263604897395114e-01	6.425636115427222e-01	
8	9.799500107769999e-01	-2.876826092032643e-03	1.412488251429543e+00	3.087154083068240e+02	4.348766899079895e+01	3.221579975196977e+05	1.151007651494831e+05	2.838727544409742e+02	3.034737308669741e-01	6.534757883903359e-01	
9	9.752799868580000e-01	-3.536324145770189e-03	1.403971304858904e+00	3.112796635802568e+02	4.361080343164191e+01	3.204973161788325e+05	1.141250019130079e+05	2.831736975051507e+02	2.819781183472534e-01	6.636486186609722e-01	
10	9.701499938960000e-01	-4.256268552403566e-03	1.395902887995893e+00	3.136097080800382e+02	4.365987779765803e+01	3.189208634315450e+05	1.132038455505289e+05	2.825116227128732e+02	2.616854699897981e-01	6.731868879673433e-01	
