"PointID"	"x"	"y"	"Conservative_1"	"Conservative_2"	"Conservative_3"	"Conservative_4"	"Pressure"	"Temperature"	"Pressure_Coefficient"	"Mach"
0	9.997500181200000e-01	-3.632896519016437e-05	1.510843833895930e+00	2.566504400517728e+02	3.444659419629573e+01	3.413610386052500e+05	1.276677844196098e+05	2.935386802600196e+02	5.803193494151119e-01	4.983155131032420e-01	
1	9.990000128750000e-01	-1.452537504052920e-04	1.489428312088512e+00	2.690413067230484e+02	3.819630737384902e+01	3.373549425025188e+05	1.250264702228800e+05	2.915989511178851e+02	5.221324200521665e-01	5.322031700469242e-01	
2	9.977599978450000e-01	-3.251111630156300e-04	1.472081831743157e+00	2.793969488194854e+02	3.973873066971810e+01	3.341546739394034e+05	1.228415714092428e+05	2.898791657956801e+02	4.740001103513014e-01	5.608773689690727e-01	
3	9.960200190539999e-01	-5.769983605901485e-04	1.457844064047775e+00	2.866799369670408e+02	4.104802744323302e+01	3.314874809260088e+05	1.210889158448337e+05	2.885339426392767e+02	4.353899193902603e-01	5.825489421967521e-01	
4	9.937800168990000e-01	-9.004365425509819e-04	1.445371915725790e+00	2.922277317307953e+02	4.192443646801746e+01	3.291173089494826e+05	1.195870925262856e+05	2.874142439244449e+02	4.023054467212480e-01	6.001356729501911e-01	
5	9.910500049590000e-01	-1.293363843462116e-03	1.434233584725828e+00	2.967516416909605e+02	4.250244930905416e+01	3.269846741407502e+05	1.182620204511752e+05	2.864369223148889e+02	3.731147221453057e-01	6.151852546189301e-01	
6	9.878399968150000e-01	-1.753609743384430e-03	1.424080821109128e+00	3.005659130278531e+02	4.290007674107439e+01	3.250291223099081e+05	1.170657144949238e+05	2.855608557405513e+02	3.467606555753185e-01	6.284530318740252e-01	
7	9.841300249100000e-01	-2.283176811071472e-03	1.414675384773168e+00	3.038645182368171e+02	4.319671142815706e+01	3.232089676558195e+05	1.159661006148479e+05	2.847592559236138e+02	3.225366706947210e-01	6.404225108958759e-01	
8	9.799500107769999e-01	-2.876826092032643e-03	1.405863219114387e+00	3.067617209276983e+02	4.339161555389027e+01	3.214960059310330e+05	1.149433633299429e+05	2.840170577773359e+02	3.000062416275174e-01	6.513666322238086e-01	
9	9.752799868580000e-01	-3.536324145770189e-03	1.397541512501056e+00	3.093645915404357e+02	4.351664291974308e+01	3.198738416213775e+05	1.139821306234779e+05	2.833189646120069e+02	2.788307299592429e-01	6.615466551534397e-01	
10	9.701499938960000e-01	-4.256268552403566e-03	1.389626654280877e+00	3.117248361800123e+02	4.356903734932320e+01	3.183267406322245e+05	1.130720989236279e+05	2.826577583738977e+02	2.587831527710495e-01	6.710913786917080e-01	
11	9.645400047300000e-01	-5.038225493362627e-03	1.382051675682802e+00	3.138946917741220e+02	4.356874279957859e+01	3.168431936877981e+05	1.122040853173816e+05	2.820252416962848e+02	2.396612147391180e-01	6.801381838181804e-01	
12	9.584699869160000e-01	-5.878077433056352e-03	1.374763740081834e+00	3.159014589658429e+02	4.351524389288463e+01	3.154130210804630e+05	1.113717853496485e+05	2.814172436153018e+02	2.213260316354836e-01	6.887597067796780e-01	
13	9.519400000570000e-01	-6.774428848839826e-03	1.367727873579795e+00	3.177697152955966e+02	4.341714779936955e+01	3.140300037080669e+05	1.105706116469794e+05	2.808300688877912e+02	2.036765457460823e-01	6.970197949179096e-01	
14	9.449599981310000e-01	-7.724467125531491e-03	1.360913964569150e+00	3.195171925211408e+02	4.327703026605033e+01	3.126884847153216e+05	1.097968178156488e+05	2.802610050438868e+02	1.866302257509595e-01	7.049649875488659e-01	
